P1-K120,5ST PARTS DETECT MEMORY,,
P1-K142,5ST CARRIER ABSENT MEMORY,,
P3-K011,MANUAL SELECTION MEMORY (PERIODIC),,
P3-K022,PERIODIC EXCHANGE,,
P3-K010,AUTO SELECTION MEMORY (PERIODIC),,
P3-K023,FIXED QUANTITY EXCHANGE,,
P3-K033,USE SIGNAL TOWER(L2),,
P3-K013,PERIODIC CHANGE SELECTION MEMORY,,
P3-K032,USE SIGNAL TOWER(L1),,
P3-K012,PERIODIC CHANGE SELECTION MEMORY,,
P3-K031,USE SIGNAL TOWER(R2),,
P3-K030,USE SIGNAL TOWER(R1),,
P1-K130,5ST LOADING COMPLETED,,
P1-K1F0,ENDURANCE IN R/B MODE ON,,
P1-K132,5ST BACKUP OPERATION ON,,
P1-K112,1ST CARRIER ABSENT MEMORY,,
P1-K133,5ST BACKUP OPERATION COMPLETED,,
P1-K100,1ST UNLOADING COMPLETED,,
P1-K103,1ST BACKUP OPERATION COMPLETED,,
P3-K024,CUT OFF,,
P1-K102,1ST BACKUP OPERATION ON,,
P1-K110,8ST PALLET OUT MEMORY,,
P1-K141,5ST PALLET OUT MEMORY,,
P1-K121,5ST NO PARTS MEMORY,,
P1-K111,1ST PALLET OUT MEMORY,,
P1-K140,4ST PALLET OUT MEMORY,,
P2-V004,NORMALLY ON,,
P1-V0A2,P1:L1 COMMUNICATION FAULT,,
P1-V0F0,PLC BATTERY FAULT,,
P1-V0AE,P1:L4 COMMUNICATION FAULT,,
P2-V005,NORMALLY OFF,,
P3-V0B2,P3-L5 COMMUNICATION ALARM,,
P3-V0AE,P3-L4 COMMUNICATION ALARM,,
P1-V0B6,P1:L6 COMMUNICATION FAULT,,
P2-V0AA,P2:L3 COMMUNICATION FAULT,,
P1-V027,CPU RUN,,
P3-V005,NORMALLY OFF,,
P3-V027,CPU RUN,,
P2-V0BE,P2:L8 COMMUNICATION FAULT,,
P1-V080,L1 COMMUNICATION RESET,,
P1-V0AA,P1:L3 COMMUNICATION FAULT,,
P3-V0B6,P3-L6 COMMUNICATION ALARM,,
P3-V0AA,P3-L3 COMMUNICATION ALARM,,
P3-V004,NORMALLY ON,,
P1-V0B2,P1:L5 COMMUNICATION FAULT,,
P2-V0B6,P2:L6 COMMUNICATION FAULT,,
P3-V006,START UP TIME 1 SCAN ON,,
P3-V0BA,P3-L7 COMMUNICATION ALARM,,
P2-V0BA,P2:L7 COMMUNICATION FAULT,,
P1-V006,1SCAN ON,,
P3-V072,ONE SECOND CLOCK,,
P2-V0B2,P2:L5 COMMUNICATION FAULT,,
P1-V072,1SEC.CLOCK,,
P1-V005,NORMALLY OFF,,
P3-V073,TWO SECOND CLOCK,,
P3-V0BE,P3-L8 COMMUNICATION ALARM,,
P2-V0A6,P2:L2 COMMUNICATION FAULT,,
P1-V004,NORMALLY ON,,
P3-V0A6,P3-L2 COMMUNICATION ALARM,,
P1-V0BE,P1:L8 COMMUNICATION FAULT,,
P1-V0A6,P1:L2 COMMUNICATION FAULT,,
P3-V090,LINK 1 USE OK,,
P2-V0AE,P2:L4 COMMUNICATION FAULT,,
P2-V0A2,P2:L1 COMMUNICATION FAULT,,
P3-V0A2,P3-L1 COMMUNICATION ALARM,,
P1-V0BA,P1:L7 COMMUNICATION FAULT,,
P3-T036,MANUAL ACTION SW23- CYCLE TIME MEASUREMENT,,
P3-T0E8,R/B-9 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0B6,R/B-23 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T093,DELAY ALARM DETECTION,,
P3-T04A,MANUAL ACTION SW35- CYCLE TIME MEASUREMENT,,
P3-T08F,PM2 WORK PERMISSION BUZZER TIMER,,
P3-T02A,MANUAL ACTION SW11- CYCLE TIME MEASUREMENT,,
P3-T054,MANUAL ACTION SW45- CYCLE TIME MEASUREMENT,,
P3-T120,CONFIRMATION END OF CYCLE R/B1,,
P3-T13C,CONFIRMATION END OF CYCLE R/B29,,
P3-T0BC,R/B-29 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T007,MANUAL1/3 SELECT A8 CYCLE TIME MEASUREMENT,,
P3-T037,MANUAL ACTION SW24- CYCLE TIME MEASUREMENT,,
P3-T049,MANUAL ACTION SW34- CYCLE TIME MEASUREMENT,,
P3-T0E9,R/B-10 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0B9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T08E,PM1 WORK PERMISSION BUZZER TIMER,,
P3-T13B,CONFIRMATION END OF CYCLE R/B28,,
P3-T055,MANUAL ACTION SW46- CYCLE TIME MEASUREMENT,,
P3-T0BB,R/B-28 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T121,CONFIRMATION END OF CYCLE R/B2,,
P3-T006,MANUAL1/3 SELECT A7 CYCLE TIME MEASUREMENT,,
P3-T010,MANUAL1/3 SELECT C1 CYCLE TIME MEASUREMENT,,
P1-T1C0,5ST CONVEYOR RUNNING OK,,
P1-T168,5ST START PREPARATION,,
P1-T1B2,1ST LIFTER RUNNING OK,,
P3-T0BE,R/B-31 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T048,MANUAL ACTION SW33- CYCLE TIME MEASUREMENT,,
P3-T0B8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0C0,DURING THE TIP EXCHANGE TIME,,
P3-T13A,CONFIRMATION END OF CYCLE R/B27,,
P3-T065,MANUAL ACTION SW54- CYCLE TIME MEASUREMENT,,
P3-T02C,MANUAL ACTION SW13- CYCLE TIME MEASUREMENT,,
P3-T034,MANUAL ACTION SW21- CYCLE TIME MEASUREMENT,,
P3-T056,MANUAL ACTION SW47- CYCLE TIME MEASUREMENT,,
P3-T089,POPUP CLOSE DELAY,,
P3-T122,CONFIRMATION END OF CYCLE R/B3,,
P3-T005,MANUAL1/3 SELECT A6 CYCLE TIME MEASUREMENT,,
P3-T00F,MANUAL1/3 SELECT B8 CYCLE TIME MEASUREMENT,,
P3-T011,MANUAL1/3 SELECT C2 CYCLE TIME MEASUREMENT,,
P1-T029,6ST STOP,,
P1-T1B3,1ST LIFTER UP OFF,,
P1-T1C3,5ST LIFTER UP OFF,,
P3-T0F9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T064,MANUAL ACTION SW53- CYCLE TIME MEASUREMENT,,
P3-T02B,MANUAL ACTION SW12- CYCLE TIME MEASUREMENT,,
P3-T088,MODEL CODE 2 SETTING OUTPUT DELAY,,
P3-T035,MANUAL ACTION SW22- CYCLE TIME MEASUREMENT,,
P3-T057,MANUAL ACTION SW48- CYCLE TIME MEASUREMENT,,
P3-T0BD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T123,CONFIRMATION END OF CYCLE R/B4,,
P3-T12D,CONFIRMATION END OF CYCLE R/B14,,
P3-T004,MANUAL1/3 SELECT A5 CYCLE TIME MEASUREMENT,,
P3-T00E,MANUAL1/3 SELECT B7 CYCLE TIME MEASUREMENT,,
P3-T012,MANUAL1/3 SELECT C3 CYCLE TIME MEASUREMENT,,
P1-T1B0,1ST CONVEYOR RUNNING OK,,
P1-T010,P1:L1 COMMUNICATION NORMAL,,
P1-T028,5ST STOP,,
P1-T1C2,5ST LIFTER RUNNING OK,,
P3-T047,MANUAL ACTION SW32- CYCLE TIME MEASUREMENT,,
P3-T0F8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T12E,CONFIRMATION END OF CYCLE R/B15,,
P3-T050,MANUAL ACTION SW41- CYCLE TIME MEASUREMENT,,
P3-T032,MANUAL ACTION SW19- CYCLE TIME MEASUREMENT,,
P3-T0FE,R/B-231 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AA,R/B-11 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T067,MANUAL ACTION SW56- CYCLE TIME MEASUREMENT,,
P3-T02E,MANUAL ACTION SW15- CYCLE TIME MEASUREMENT,,
P3-T00D,MANUAL1/3 SELECT B6 CYCLE TIME MEASUREMENT,,
P3-T013,MANUAL1/3 SELECT C4 CYCLE TIME MEASUREMENT,,
P1-T180,1ST UNLOADING COMPLETED(FOR ENDURANCE),,
P1-T128,1ST AREA START PREPARATION,,
P1-T079,5ST NO WORK,,
P2-T1FF,EDC Quality/Health Tools Batch 2 Interval Time,,
P3-T0BF,R/B-32 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T12F,CONFIRMATION END OF CYCLE R/B16,,
P3-T051,MANUAL ACTION SW42- CYCLE TIME MEASUREMENT,,
P3-T06E,MANUAL ACTION SW63- CYCLE TIME MEASUREMENT,,
P3-T0FD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T021,MANUAL ACTION SW2- CYCLE TIME MEASUREMENT,,
P3-T033,MANUAL ACTION SW20- CYCLE TIME MEASUREMENT,,
P3-T066,MANUAL ACTION SW55- CYCLE TIME MEASUREMENT,,
P3-T0E4,R/B-5 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T02D,MANUAL ACTION SW14- CYCLE TIME MEASUREMENT,,
P3-T0AB,R/B-12 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T1FF,CYCLE TIME MEASUREMENT (PROCESS),,
P3-T046,MANUAL ACTION SW31- CYCLE TIME MEASUREMENT,,
P3-T014,MANUAL1/3 SELECT C5 CYCLE TIME MEASUREMENT,,
P1-T080,DELAY FOR AGING START(HOLD DOWN FOR 5sec.),,
P1-T181,5ST LOADING COMPLETED(FOR ENDURANCE),,
P1-T1B6,1ST INVERTER STOP,,
P1-T148,TRANSFER AREA START PREPARATION,,
P2-T101,EDC Custom Code 1 Delay,,
P2-T1FE,EDC Quality/Health Tools Batch 1 Interval Time,,
P3-T139,CONFIRMATION END OF CYCLE R/B26,,
P3-T061,MANUAL ACTION SW50- CYCLE TIME MEASUREMENT,,
P3-T030,MANUAL ACTION SW17- CYCLE TIME MEASUREMENT,,
P3-T052,MANUAL ACTION SW43- CYCLE TIME MEASUREMENT,,
P3-T06D,MANUAL ACTION SW62- CYCLE TIME MEASUREMENT,,
P3-T020,MANUAL ACTION SW1- CYCLE TIME MEASUREMENT,,
P3-T0A0,R/B-1 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T045,MANUAL ACTION SW30- CYCLE TIME MEASUREMENT,,
P3-T0E5,R/B-6 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AC,R/B-13 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T015,MANUAL1/3 SELECT C6 CYCLE TIME MEASUREMENT,,
P1-T0E4,1ST PALETTE CYCLE OVER,,
P1-T182,ENDURANCE COUNTER,,
P2-T100,TAKT TIME MONITOR for EDC,,
P3-T02F,MANUAL ACTION SW16- CYCLE TIME MEASUREMENT,,
P3-T0AD,R/B-14 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T138,CONFIRMATION END OF CYCLE R/B25,,
P3-T060,MANUAL ACTION SW49- CYCLE TIME MEASUREMENT,,
P3-T072,MANUAL ACTION SW67- CYCLE TIME MEASUREMENT,,
P3-T031,MANUAL ACTION SW18- CYCLE TIME MEASUREMENT,,
P3-T053,MANUAL ACTION SW44- CYCLE TIME MEASUREMENT,,
P3-T044,MANUAL ACTION SW29- CYCLE TIME MEASUREMENT,,
P3-T0F5,R/B-22 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0FF,R/B-32 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T023,MANUAL ACTION SW4- CYCLE TIME MEASUREMENT,,
P3-T0A1,R/B-2 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0E6,R/B-7 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T016,MANUAL1/3 SELECT C7 CYCLE TIME MEASUREMENT,,
P3-T009,MANUAL1/3 SELECT B2 CYCLE TIME MEASUREMENT,,
P1-T1E3,RMT FAN2 ALARM,,
P1-T063,1ST DOWN END,,
P1-T1B4,1ST LIFTER DOWN OFF,,
P1-T024,VISION RESET,,
P3-T0E7,R/B-8 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AE,R/B-15 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T137,CONFIRMATION END OF CYCLE R/B2,,
P3-T0FA,R/B-27 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T073,MANUAL ACTION SW68- CYCLE TIME MEASUREMENT,,
P3-T063,MANUAL ACTION SW52- CYCLE TIME MEASUREMENT,,
P3-T043,MANUAL ACTION SW28- CYCLE TIME MEASUREMENT,,
P3-T06F,MANUAL ACTION SW64- CYCLE TIME MEASUREMENT,,
P3-T0ED,R/B-14 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
